YearMonth,% Ans 20 Seconds
2010-May,94%
2010-Jun,98%
2010-Jul,96%
2010-Aug,97%
2010-Sep,97%
2010-Oct,97%
2010-Nov,94%
2010-Dec,95%
2011-Jan,94%
2011-Feb,98%
2011-Mar,96%
2011-Apr,93%
2011-May,92%
2011-Jun,90%
2011-Jul,93%
2011-Aug,90%
2011-Sep,81%
2011-Oct,86%
2011-Nov,85%
2011-Dec,71%
2012-Jan,57%
2012-Feb,69%
2012-Mar,77%
2012-Apr,76%
2012-May,68%
2012-Jun,82%
2012-Jul,81%
2012-Aug,82%
2012-Sep,79%
2012-Oct,52%
2012-Nov,68%
2012-Dec,71%
2013-Jan,43%
2013-Feb,73%
2013-Mar,69%
2013-Apr,69%
2013-May,85%
2013-Jun,82%
2013-Jul,90%
2013-Aug,89%
2013-Sep,84%
2013-Oct,87%
2013-Nov,78%
2013-Dec,70%
2014-Jan,60%
2014-Feb,62%
2014-Mar,74%
2014-Apr,71%
2014-May,79%
2014-Jun,74%
2014-Jul,67%
2014-Aug,73%
2014-Sep,77%
2014-Oct,74%
2014-Nov,71%
2014-Dec,72%
2015-Jan,60%
2015-Feb,68%
2015-Mar,66%
2015-Apr,74%
2015-May,78%
2015-Jun,65%
2015-Jul,68%
2015-Aug,69%
2015-Sep,81%
2015-Oct,81%
2015-Nov,80%
2015-Dec,75%
2016-Jan,74%
2016-Feb,75%
2016-Mar,74%
2016-Apr,74%
2016-May,73%
2016-Jun,56%
2016-Jul,64%
2016-Aug,68%
2016-Sep,67%
2016-Oct,68%
2016-Nov,70%
2016-Dec,71%
2017-Jan,66%
2017-Feb,71%
2017-Mar,81%
2017-Apr,76%
2017-May,71%
2017-Jun,73%
2017-Jul,76%
2017-Aug,80%
2017-Sep,81%
2017-Oct,86%
2017-Nov,84%
2017-Dec,78%
2018-Jan,79%
2018-Feb,74%
2018-Mar,81%
2018-Apr,94%
2018-May,89%
2018-Jun,89%
2018-Jul,82%
2018-Aug,84%
