Date,AUD
30/11/2018,1.5565
29/11/2018,1.5525
28/11/2018,1.5595
27/11/2018,1.5631
26/11/2018,1.5664
23/11/2018,1.5708
22/11/2018,1.5721
21/11/2018,1.5725
20/11/2018,1.5712
19/11/2018,1.566
16/11/2018,1.5623
15/11/2018,1.5564
14/11/2018,1.5657
13/11/2018,1.5628
12/11/2018,1.5623
09/11/2018,1.5663
08/11/2018,1.5668
07/11/2018,1.575
06/11/2018,1.5789
05/11/2018,1.5803
02/11/2018,1.584
01/11/2018,1.5857
31/10/2018,1.5972
30/10/2018,1.6025
29/10/2018,1.6061
26/10/2018,1.6142
25/10/2018,1.6095
24/10/2018,1.6067
23/10/2018,1.6243
22/10/2018,1.6185
19/10/2018,1.6065
18/10/2018,1.6119
17/10/2018,1.619
16/10/2018,1.6243
15/10/2018,1.6231
12/10/2018,1.6236
11/10/2018,1.6314
10/10/2018,1.6206
09/10/2018,1.6203
08/10/2018,1.6242
05/10/2018,1.627
04/10/2018,1.6234
03/10/2018,1.6146
02/10/2018,1.6081
01/10/2018,1.607
28/09/2018,1.6048
27/09/2018,1.62
26/09/2018,1.6202
25/09/2018,1.6234
24/09/2018,1.6187
21/09/2018,1.6154
20/09/2018,1.6158
19/09/2018,1.6109
18/09/2018,1.6244
17/09/2018,1.6258
14/09/2018,1.626
13/09/2018,1.6167
12/09/2018,1.6268
11/09/2018,1.631
10/09/2018,1.6257
07/09/2018,1.6219
06/09/2018,1.6164
05/09/2018,1.6144
04/09/2018,1.6091
03/09/2018,1.6109
31/08/2018,1.6129
30/08/2018,1.6015
29/08/2018,1.5989
28/08/2018,1.5924
27/08/2018,1.5886
24/08/2018,1.5868
23/08/2018,1.5888
22/08/2018,1.5785
21/08/2018,1.5657
20/08/2018,1.5631
17/08/2018,1.567
16/08/2018,1.5647
15/08/2018,1.5669
14/08/2018,1.5696
13/08/2018,1.567
10/08/2018,1.5675
09/08/2018,1.5626
08/08/2018,1.5647
07/08/2018,1.5599
06/08/2018,1.5629
03/08/2018,1.5689
02/08/2018,1.5781
01/08/2018,1.5767
31/07/2018,1.5804
30/07/2018,1.5795
27/07/2018,1.5765
26/07/2018,1.5792
25/07/2018,1.5766
24/07/2018,1.5797
23/07/2018,1.5821
20/07/2018,1.5818
19/07/2018,1.5804
18/07/2018,1.5794
17/07/2018,1.581
16/07/2018,1.5773
13/07/2018,1.5764
12/07/2018,1.5778
11/07/2018,1.5869
10/07/2018,1.5739
09/07/2018,1.5755
06/07/2018,1.5809
05/07/2018,1.5821
04/07/2018,1.5763
03/07/2018,1.5761
02/07/2018,1.5825
29/06/2018,1.5787
28/06/2018,1.5778
27/06/2018,1.5725
26/06/2018,1.5778
25/06/2018,1.5742
22/06/2018,1.5681
21/06/2018,1.5664
20/06/2018,1.5688
19/06/2018,1.5695
18/06/2018,1.561
15/06/2018,1.5518
14/06/2018,1.5514
13/06/2018,1.5506
12/06/2018,1.5506
11/06/2018,1.5501
08/06/2018,1.5496
07/06/2018,1.5457
06/06/2018,1.5365
05/06/2018,1.5335
04/06/2018,1.5311
01/06/2018,1.5494
31/05/2018,1.5414
30/05/2018,1.5409
29/05/2018,1.5366
28/05/2018,1.541
25/05/2018,1.5424
24/05/2018,1.5519
23/05/2018,1.5544
22/05/2018,1.5543
21/05/2018,1.5619
18/05/2018,1.5673
17/05/2018,1.5681
16/05/2018,1.5741
15/05/2018,1.5857
14/05/2018,1.5861
11/05/2018,1.5801
10/05/2018,1.5865
09/05/2018,1.5923
08/05/2018,1.5929
07/05/2018,1.5882
04/05/2018,1.5915
03/05/2018,1.5926
02/05/2018,1.5987
30/04/2018,1.6013
27/04/2018,1.5975
26/04/2018,1.607
25/04/2018,1.6118
24/04/2018,1.6038
23/04/2018,1.601
20/04/2018,1.5983
19/04/2018,1.5892
18/04/2018,1.5953
17/04/2018,1.591
16/04/2018,1.5928
13/04/2018,1.5801
12/04/2018,1.5893
11/04/2018,1.598
10/04/2018,1.5976
09/04/2018,1.605
06/04/2018,1.5934
05/04/2018,1.594
04/04/2018,1.5978
03/04/2018,1.5994
29/03/2018,1.6036
28/03/2018,1.6132
27/03/2018,1.607
26/03/2018,1.6048
23/03/2018,1.5978
22/03/2018,1.5974
21/03/2018,1.5994
20/03/2018,1.5934
19/03/2018,1.5994
16/03/2018,1.586
15/03/2018,1.5735
14/03/2018,1.5644
13/03/2018,1.5683
12/03/2018,1.5641
09/03/2018,1.5772
08/03/2018,1.5912
07/03/2018,1.5909
06/03/2018,1.584
05/03/2018,1.5887
02/03/2018,1.5885
01/03/2018,1.5746
28/02/2018,1.5637
27/02/2018,1.5698
26/02/2018,1.571
23/02/2018,1.572
22/02/2018,1.5699
21/02/2018,1.5684
20/02/2018,1.5648
19/02/2018,1.5676
16/02/2018,1.5695
15/02/2018,1.5757
14/02/2018,1.5707
13/02/2018,1.5715
12/02/2018,1.5645
09/02/2018,1.5721
08/02/2018,1.5694
07/02/2018,1.5684
06/02/2018,1.5728
05/02/2018,1.5664
02/02/2018,1.563
01/02/2018,1.5567
31/01/2018,1.5357
30/01/2018,1.5345
29/01/2018,1.5302
26/01/2018,1.538
25/01/2018,1.5358
24/01/2018,1.531
23/01/2018,1.5365
22/01/2018,1.5287
19/01/2018,1.5302
18/01/2018,1.5311
17/01/2018,1.5314
16/01/2018,1.5379
15/01/2018,1.5434
12/01/2018,1.5417
11/01/2018,1.5281
10/01/2018,1.5289
09/01/2018,1.5242
08/01/2018,1.5289
05/01/2018,1.5361
04/01/2018,1.5398
03/01/2018,1.5339
02/01/2018,1.5413
29/12/2017,1.5346
28/12/2017,1.533
27/12/2017,1.5316
22/12/2017,1.5358
21/12/2017,1.5451
20/12/2017,1.5427
19/12/2017,1.5406
18/12/2017,1.5392
15/12/2017,1.5382
14/12/2017,1.5452
13/12/2017,1.5503
12/12/2017,1.5541
11/12/2017,1.5674
08/12/2017,1.562
07/12/2017,1.5682
06/12/2017,1.5565
05/12/2017,1.5512
04/12/2017,1.5585
01/12/2017,1.5693
30/11/2017,1.5659
29/11/2017,1.5627
28/11/2017,1.5619
27/11/2017,1.5656
24/11/2017,1.5585
23/11/2017,1.5532
22/11/2017,1.5503
21/11/2017,1.5466
20/11/2017,1.5592
17/11/2017,1.5632
16/11/2017,1.5507
